epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.90787,1.99748,2.55173,9.13892,1.42445,0.0818,0.22222,0.01993,0.0085,0.04065,0.11111,0.00977,0.00584,2.3325,3.36079,8.65069,1.75394,0.09901,1e-05,1e-05
2,10.5594,2.13397,3.33425,10.3738,1.51525,0.07053,0.22222,0.01912,0.00784,0.03509,0.11111,0.00974,0.00533,2.25465,3.36315,8.52127,1.70765,0.0970297,2.9703e-05,2.9703e-05
3,13.9791,2.05774,3.39226,11.261,1.66005,0.07084,0.22222,0.01993,0.00751,0.03312,0.11111,0.00851,0.00508,2.16854,3.3494,8.32286,1.65932,0.095049,4.901e-05,4.901e-05
4,16.973,1.94042,3.20489,11.5931,1.43149,0.06589,0.22222,0.01768,0.00661,0.03229,0.11111,0.00734,0.00443,2.06246,3.36074,8.13446,1.62236,0.0930679,6.7921e-05,6.7921e-05
5,19.8759,2.18254,2.28293,13.0667,1.36795,0.00143,0.33333,0.00102,0.00038,0,0,0,0,1.99187,18.3951,10.4754,1.50913,0.0910864,8.6436e-05,8.6436e-05
6,22.922,1.51217,2.2031,4.00245,1.17155,0.02894,0.11111,0.00924,0.00275,0.30319,0.11111,0.06263,0.01902,2.68492,3.57474,10.4003,1.73522,0.0891046,0.000104555,0.000104555
7,25.9504,1.5912,1.65165,2.74252,1.24983,0.05915,0.22222,0.03653,0.00926,0.04792,0.30795,0.02738,0.01134,2.50874,4.03476,6.6528,1.47665,0.0871223,0.000122278,0.000122278
8,29.5657,1.51156,1.47876,2.46972,1.05482,0.36139,0.33333,0.24348,0.10435,0,0,0,0,2.60552,21.4679,6.22293,1.65956,0.0851396,0.000139605,0.000139605
9,32.4418,1.46023,2.19555,2.23145,1.08511,0.73404,0.11111,0.15625,0.03561,0,0,0,0,2.79467,33.9563,3.8562,1.77058,0.0831565,0.000156536,0.000156536
10,35.8851,1.50496,1.99872,1.87323,1.09846,0.94008,0.11111,0.17252,0.03328,0.00048,0.11111,0.00042,4e-05,2.96891,38.72,3.12124,1.9531,0.0811731,0.000173071,0.000173071
11,39.1934,1.46904,1.3876,1.77622,1.22745,0.22674,0.33333,0.27263,0.06586,0.95634,0.11111,0.13045,0.02649,2.68729,30.4738,2.78284,1.85429,0.0791892,0.00018921,0.00018921
12,42.6933,1.37117,1.30679,1.54069,1.12475,0.56027,0.22222,0.2919,0.12524,0.56027,0.22222,0.21785,0.12018,2.32739,24.0421,2.53699,1.68485,0.077205,0.000204953,0.000204953
13,45.4952,1.27374,2.03629,1.55674,1.0794,0.28755,0.44444,0.3282,0.14972,0.61905,0.22222,0.2759,0.10885,2.15657,19.845,2.64494,1.71751,0.0752203,0.0002203,0.0002203
14,48.7383,1.40188,1.02801,1.68693,1.20329,0.31817,0.22222,0.20295,0.08516,0.31817,0.22222,0.17443,0.06985,1.97362,20.3777,2.7571,1.74292,0.0732353,0.000235251,0.000235251
15,51.7759,1.31642,1.18673,1.47049,1.2017,0.94978,0.11111,0.18035,0.07614,0.94978,0.11111,0.14742,0.0502,2.10898,25.5453,3.44121,1.72255,0.0712498,0.000249806,0.000249806
16,54.7175,1.28436,1.45152,1.84004,1.2439,0.84777,0.11111,0.17166,0.07555,0.01775,0.33333,0.09524,0.01738,2.15264,32.8967,3.629,1.7392,0.069264,0.000263965,0.000263965
17,57.028,1.18705,1.52601,1.38055,1.07957,0.43122,0.22222,0.24333,0.08661,0.00781,0.11111,0.00511,0.00247,2.11576,45.9829,3.60505,1.78606,0.0672777,0.000277728,0.000277728
18,60.0916,1.14386,1.77073,1.36293,1.0614,0.5849,0.16771,0.24771,0.12269,0.00735,0.11111,0.00529,0.00152,1.91742,64.4262,3.31876,1.70793,0.0652911,0.000291095,0.000291095
